date,section_name,headline,abstract,lead_paragraph,keywords,word_count
2021-07-01,Movies,‘The Forever Purge’ Review: Anarchy Ever After,"This newest installment in the dystopian franchise, set in a Texan town, pits white supremacists against immigrants and their allies.","James DeMonaco’s scripts for “The Purge” play out like drafts from the edgiest guy in your Intro to Creative Writing class. He asks us to imagine America at its hypothetical worst: The government has instituted an annual daylong crime spree called the Purge, and protagonists must fight their way through the waves of rabid murderers they once called neighbors. They’re the sort of plots that only hold up if you buy the misanthropic thesis of something like “Joker,” but DeMonaco likes to throw a few hot political topics into each script to keep things fresh. “The Forever Purge,” directed by Everardo Valerio Gout, tries to criticize American racism against Mexicans.",['Movies'],271
2021-07-01,Movies,‘Till Death’ Review: My Relationship Is Dragging Me Down,"Megan Fox leads this straightforward, but gleefully chaotic thriller about a woman handcuffed to the corpse of her husband.","In “Till Death,” Megan Fox plays Emma, a glamorous woman who got hitched at an age when she simply didn’t know any better. That’s partly why she’s been having an affair, though she breaks it off in an attempt to make things right.",['Movies'],299
2021-07-01,Climate,Arctic’s ‘Last Ice Area’ May Be Less Resistant to Global Warming,"The region, which could provide a last refuge for polar bears and other Arctic wildlife that depends on ice, is not as stable as previously thought, according to a new study.","Last August, scientists aboard an icebreaker that had been drifting with the ice across the Arctic Ocean in a yearlong research expedition decided to take a detour to the North Pole.","['Global Warming', 'Oceans and Seas', 'Research', 'Ice']",770
2021-07-01,World,Stolen Picasso and Mondrian Paintings Found Stashed in a Ravine in Greece,"Ending a long-running mystery, a construction worker guided the police to the hiding place after admitting he had taken the works in a daring one-man raid on the National Gallery in Athens in 2012.","ATHENS — When paintings by Picasso and Mondrian and a sketch by the Italian artist Guglielmo Caccia went missing from the National Gallery in Athens in 2012, it was the beginning of a mystery that lasted for nearly a decade.","['Art', 'Museums', 'Robberies and Thefts']",878
2021-07-01,Business Day,Joe Rogan Is Too Big to Cancel,"He’s now one of the most consumed media products on the planet. His Spotify deal, estimated at $100 million, speaks to the allure of making audiences feel they’re in on something subversive.","The other comics called him “Little Ball of Anger” — semi-affectionately, never to his face — a man flammable by bearing and branding, it seemed, with his taekwondo muscles and a scorching conviction that the Bible had some holes.","['Comedy and Humor', 'Content Type: Personal Profile', 'Podcasts']",4423
2021-07-01,World,William and Harry Unveil Princess Diana Statue,"Prince William and Prince Harry unveiled a statue of their mother, Diana, Princess of Wales, at Kensington Palace in London on what would have been her 60th birthday.","Prince William and Prince Harry unveiled a statue of their mother, Diana, Princess of Wales, at Kensington Palace in London on what would have been her 60th birthday.",['Monuments and Memorials (Structures)'],0
2021-07-01,U.S.,Rescue Teams Paused Search Over Building Structure Concern,"Officials in Surfside, Fla., halted their search for survivors in the collapsed Champlain Towers South condominium for more than 12 hours because of concern the rest of the structure could collapse.","Officials in Surfside, Fla., halted their search for survivors in the collapsed Champlain Towers South condominium for more than 12 hours because of concern the rest of the structure could collapse.","['Surfside, Fla, Building Collapse (2021)', 'Condominiums', 'Accidents and Safety']",0
2021-07-01,Sports,"After Years of Heartache, the Ball Is Finally Bouncing the Suns’ Way",Phoenix is the first team to the make the Finals after missing the playoffs for 10 straight seasons.,"Chris Paul was on the floor for only four of six games in the Western Conference finals, then revealed after the game of his life that he had a new wrist injury. Devin Booker reluctantly wore a plastic face shield over his broken nose for three games until he finally ditched it.","['Basketball', 'NBA Championship']",1278
2021-07-01,World,"Virus Surges in Myanmar, Where Generals Control Vaccines","With doctors and other health care workers already on strike to protest the coup, Myanmar’s health care system may buckle under the outbreak.","Three days before she was arrested by soldiers, Myanmar’s civilian leader, Daw Aung San Suu Kyi, received her first dose of a coronavirus vaccine. Her high-profile inoculation was part of a nationwide campaign to combat the virus through testing, mask-wearing, lockdowns and vaccination.","[""Coups D'Etat and Attempted Coups D'Etat"", 'Defense and Military Forces', 'Disease Rates', 'Coronavirus (2019-nCoV)', 'Politics and Government', 'Vaccination and Immunization', 'Hospitals', 'Deaths (Fatalities)', 'Strikes']",1169
2021-07-01,Business Day,Meghan McCain says she’s leaving ‘The View.’,"After a sometimes stormy four-year run, the show’s conservative voice announces her departure.","Meghan McCain will leave “The View” at the end of July, the co-host said on Thursday at the beginning of the popular daytime show.","['Television', 'Coronavirus (2019-nCoV)']",503
2021-07-01,Health,Frontline Health Care Workers Aren’t Feeling the ‘Summer of Joy’,"Doctors and nurses are reeling from new Covid cases, staff burnout and the prolonged stress of dealing with the pandemic.","A largely unmasked nation will celebrate the nation’s return to near-normalcy this weekend with a ticker-tape parade in New York City, a dazzling fireworks display over the Washington Monument and countless Independence Day gatherings in cities and towns across the country.","['Nursing and Nurses', 'Workplace Hazards and Violations', 'Coronavirus (2019-nCoV)', 'Hospitals', 'Vaccination and Immunization', 'Post-Traumatic Stress Disorder', 'Summer (Season)', 'Grief (Emotion)', 'your-feed-healthcare']",1713
2021-07-01,Movies,‘The One and Only Dick Gregory’ Review: A Peek at a Comic Legend,The documentary examines the many lives of the stand-up and activist who inspired a generation of performers.,"In a remarkable article from October 1960, Ebony magazine asked why there were no Black stars in comedy, blaming racist double standards held by audiences and television bookers as well as a new sensitivity (the term “politically correct” had not been coined) that wouldn’t tolerate performers trafficking in stereotypes from the minstrel era. Three months later, Dick Gregory, mentioned briefly as a “newcomer,” made the question irrelevant in one night.","['Comedy and Humor', 'Race and Ethnicity', 'Documentary Films and Programs']",546
2021-07-01,Technology,"‘Crucial Time’ for Cloud Gaming, Which Wants to Change How You Play","Facebook, Microsoft and Amazon are ramping up offerings on a platform that lets people enjoy high-quality games on any device.","Imagine video gamers, untethered from their computers and consoles, playing crystal-clear versions of their favorite games anywhere. They might traverse the futuristic world of the sci-fi shooter game Halo on their mobile phones while riding the subway, or dust off old MacBook computers and hop straight into the jungle of the battle arena game League of Legends.","['Computer and Video Games', 'Computers and the Internet', 'Cloud Computing', 'Software', 'Mobile Applications', 'Xbox (Video Game System)', 'Innovation']",1236
2021-07-01,Arts,‘We the People’ Updates the Sound of Schoolhouse Rock With Rap and R&B,"The new animated Netflix series, which counts the Obamas as executive producers, fuses civics lessons with musical contributions from Cordae, Adam Lambert, H.E.R., Lin-Manuel Miranda and many others.","How do you create a catchy music video about the Bill of Rights? The source material isn’t the most ear-wormy stuff, with its guidelines on due process and its prohibitions against excessive bail.","['Television', 'Music', 'Animated Films']",1283
2021-07-01,Movies,‘The Boss Baby: Family Business’ Review: Pacifier Be With You,It’s more of the same in this sequel to the 2017 comedy featuring the voice of Alec Baldwin.,"Grab your briefcases: The boss baby has returned in “The Boss Baby: Family Business,” directed by Tom McGrath, another infant adventure that hits the same notes as the original, and has little to show for it.","['Movies', 'Animated Films']",282
2021-07-01,Business Day,U.S. Proposal for 15% Global Minimum Tax Wins Support From 130 Countries,"A 15 percent minimum tax rate would generate $150 billion in additional tax revenue each year, the Organization for Economic Cooperation and Development said.",PARIS — An effort to push the most sweeping changes to the global tax system in a century gained significant momentum on Thursday when 130 nations agreed to a blueprint in which multinational corporations would pay an appropriate share of tax wherever they operate.,"['Corporate Taxes', 'Corporations', 'International Trade and World Market', 'Politics and Government', 'E-Commerce']",1397
2021-07-01,Food,"In the Male World of Whiskey, More Women Are Calling the Shots","Though sexism is still rampant, a number of women are now distilling, blending and reshaping the business in their image.","In 2018, the three founders of Milam & Greene, a distillery in Blanco, Texas, made their first trip to the San Antonio Cocktail Conference, one of the state’s largest gatherings of bartenders, distillers and their legions of fans. They were excited to introduce their new whiskey, until they found their assigned table — stuck in a corner, far from the action.","['Women and Girls', 'Discrimination', 'Whiskey']",1769
2021-07-01,New York,Indoor smoking returns in Atlantic City casinos on the Fourth of July.,Smoking on gambling floors has not been permitted since casinos reopened a year ago because of concerns the exhaled vapor could spread the coronavirus.,New Jersey’s yearlong ban on smoking inside casinos in Atlantic City will end on Sunday as the state continues to relax its coronavirus-related mandates.,"['Casinos', 'Smoking and Tobacco', 'Independence Day (US) (July 4)', 'Coronavirus (2019-nCoV)']",295
2021-07-01,U.S.,"After Biden Meets Putin, U.S. Exposes Details of Russian Hacking Campaign","The revelations, which dealt with a Russian espionage campaign, came after President Biden demanded that President Vladimir V. Putin rein in more destructive ransomware attacks.","WASHINGTON — Two weeks after President Biden met President Vladimir V. Putin of Russia and demanded that he rein in ransomware attacks on U.S. targets, American and British intelligence agencies on Thursday exposed the details of what they called a global effort by Russia’s military intelligence organization to spy on government organizations, defense contractors, universities and media companies.","['Cyberwarfare and Defense', 'Espionage and Intelligence Services', 'United States Politics and Government', 'United States International Relations', 'US Federal Government Data Breach (2020)', 'Russian Interference in 2016 US Elections and Ties to Trump Associates']",1200
2021-07-01,Arts,"Bruce Springsteen, Jennifer Hudson Set for Central Park ‘Homecoming’",Paul Simon will also perform at this summer’s concert on the Great Lawn as part of a weeklong celebration of the city’s reopening.,Bruce Springsteen! Jennifer Hudson! Paul Simon!,"['Pop and Rock Music', 'Parks and Other Recreation Areas', 'Coronavirus Reopenings']",346
2021-07-01,Movies,"Robert Sacchi, Who Played Bogart Again and Again, Dies at 89","He was a hard-working actor and not merely a doppelgänger. But his claim to fame on film, TV and the stage was that he looked like Bogie.",Lon Chaney was immortalized in a 1957 film as the “Man of a Thousand Faces.” Robert Sacchi could capitalize on only one: his conspicuous resemblance to Humphrey Bogart. He played it for all it was worth.,"['Deaths (Obituaries)', 'Actors and Actresses', 'Movies', 'Theater']",628
2021-07-01,Technology,Why Didn’t Microsoft Die?,"Microsoft made epic mistakes for years, but it’s again one of the tech world’s superstars.",This article is part of the On Tech newsletter. You can sign up here to receive it weekdays.,"['Computers and the Internet', 'Software', 'Antitrust Laws and Competition Issues']",923
2021-07-01,Climate,Here’s How Biden Aims to Increase Electric Car Sales,"The president wants to use pollution rules to rapidly lift sales, but there are hurdles ahead.","WASHINGTON — President Biden has a two-step strategy to cut tailpipe emissions, the nation’s largest source of greenhouse gases: First, restore the standards to roughly the level set by President Barack Obama. Then, tighten them even further, with an aim of making the electric car the dominant vehicle sold in the United States.","['Global Warming', 'Greenhouse Gas Emissions', 'Automobiles', 'Electric and Hybrid Vehicles', 'Fuel Efficiency', 'United States Politics and Government', 'Infrastructure (Public Works)', 'Automobile Service and Charging Stations', 'Air Pollution', 'Organized Labor', 'Environment']",1594
2021-07-01,Food,The Women Left Out of the History of Cocktails,Nicola Nice wants to set the (overwhelmingly male) record of drinks writing straight.,"Cocktail history — a relatively new pursuit — tends to dwell on ancient bar manuals from the 19th and early 20th centuries, largely the works of white, male heralded bartenders like Harry Johnson, William Boothby and Jerry Thomas. The books deal with the kind of drinks that were served in taverns, where women were long not permitted.","['Cocktails and Mixed Drinks', 'Women and Girls', 'Bartenders', 'Books and Literature']",784
2021-07-01,Arts,"On ‘Revisionist History,’ Malcolm Gladwell Unfiltered","On the new season of his podcast, the best-selling author and provocateur jousts with U.S. News & World Report and “The Little Mermaid,” among other adversaries.",The author Malcolm Gladwell and the podcast host Malcolm Gladwell are not the same.,"['Colleges and Universities', 'Podcasts']",1312
2021-07-01,Arts,Sculpture Transplanted to the Gardens,These spaces nudge you toward unexpected art surprises and offer vistas of healing and history.,"Outdoor sculptures provide some of our most accessible encounters with art, and that’s even truer this summer for art viewers who are still hesitant to re-enter galleries and museums, and for those seeking a respite of healing and history.","['Sculpture', 'Summer (Season)', 'Parks and Other Recreation Areas']",1370
2021-07-01,Sports,Tour de France Fan Will Face Trial for Role in Crash,The spectator whose cardboard sign sent riders tumbling to the road was charged with reckless endangerment and involuntarily causing injuries.,A French prosecutor said on Friday that the woman who caused a serious crash at the Tour de France last week that sent riders tumbling to the road would face trial in October on charges of reckless endangerment and involuntarily causing injuries.,['Tour de France (Bicycle Race)'],647
2021-07-01,Books,"Cicadas, Average Human Lifespan and Other Letters to the Editor",Readers respond to recent issues of the Sunday Book Review.,To the Editor:,['Books and Literature'],450
2021-07-01,Arts,"In Maya Lin’s ‘Ghost Forest,’ the Trees Are Talking Back",The installation in the heart of Madison Square Park is the artist’s memorial to another war — the one against nature.,"On a sultry summer day the trees across the street from my Bronx apartment are deep in conversation. Trees are, science tells us, social beings and do some of the same things we humans do, at least when we’re acting our best. They trade tips about health, news about weather. They nourish, and protect, and support each other. They support fellow beings too: birds, insects, us. They live sane lives. They generate excellent karma.","['Art', 'Monuments and Memorials (Structures)', 'Global Warming']",1056
2021-07-01,Style,Should ‘Bachelor’ Stars Have Received P.P.P. Loans?,News that several cast members from the franchise applied for and received federal loans during the pandemic left many fans confused.,Several contestants from “The Bachelor” and “The Bachelorette” were asked this week to explain to their fans why they applied for government loans during the Covid-19 pandemic.,"['Federal Aid (US)', 'Social Media', 'Small Business']",792
2021-07-01,U.S.,Democrats Brace for a Narrower Path to Challenge New Voting Laws,The Supreme Court’s ruling on Thursday involving Arizona voting laws appeared to limit the options for voting rights groups to mount legal challenges to restrictive new measures being passed in Republican-controlled states.,"Voting rights activists, on the defensive this year in the face of a wave of restrictive new voting laws, grappled on Thursday with new guidance from the Supreme Court signaling that the challenge will be even steeper now for opposing these laws in court.","['Voter Registration and Requirements', 'Decisions and Verdicts', 'Suits and Litigation (Civil)', 'Voting Rights Act (1965)', 'Law and Legislation']",1336
2021-07-01,Arts,"Cherry Grove, Where Gay New Yorkers Became ‘Their Real Selves’","In the 1950s, the Fire Island hamlet was a refuge for gay men and lesbians. Dozens of enlarged photos from the era are now on view outside the New-York Historical Society.","In the decades before the Stonewall uprising in 1969, an L.G.B.T.Q. community took shape among New Yorkers on a remote Fire Island hamlet known as Cherry Grove.","['Homosexuality and Bisexuality', 'Photography', 'Archives and Records', 'Museums']",409
2021-07-01,Business Day,Canada Goose’s Image Is Challenged by Union Effort,"Production of the company’s parkas was once fully unionized, but labor organizers say the owners have taken a harder line in recent years.","Canada Goose, the luxury jacket maker, has cultivated an image that is not only chic but also socially conscious. It has forged alliances with environmental advocates and talked of its commitment to high labor standards.","['Organized Labor', 'Collective Bargaining', 'Fashion and Apparel', 'Factories and Manufacturing', 'Wages and Salaries']",911
2021-07-01,Movies,‘Long Story Short’ Review: Fast Forward to the End,"After his wedding night, a workaholic gets cursed with previewing how his life will turn out, one year at a time.","The British TV comedy “Spaced” had a recurring bit where Simon Pegg would half-apologetically remind his chatty friend to hurry up her story: “Skip to the end?” The same urge came to mind while watching the Australian romantic comedy “Long Story Short,” which is like a recurring bit at feature length.",['Movies'],290
2021-07-01,Business Day,Air France-KLM urges the U.S. to drop travel restrictions on Europeans.,U.S. airlines have been enjoying a summer rebound. But the industry in Europe is struggling.,"The top executive of Air France-KLM, one of the world’s largest airline companies, was thrilled when Europe eased restrictions on American visitors last month. Now, he wants the United States to return the favor.","['AIRLINES AND AIRPLANES', 'Travel Warnings', 'Travel and Vacations', 'Politics and Government', 'Coronavirus (2019-nCoV)', 'United States Politics and Government', 'Vaccination and Immunization']",472
2021-07-01,Business Day,"Boryana Straubel, 38, Dies; Founded a ‘Green’ Jewelry Company","A former Tesla executive, she ran a family foundation that focuses on environmental sustainability. Her jewelry company uses recycled metals.","Boryana Straubel, a philanthropist and advocate for environmental sustainability who founded Generation Collection, a jewelry company that uses recycled metals for its designs, died on June 19 after being struck by a car while riding her bicycle in Washoe County, Nev. She was 38.","['Deaths (Obituaries)', 'Philanthropy', 'Sustainable Living', 'Jewels and Jewelry']",807
2021-07-01,Technology,Robinhood Reveals Rising Revenue and a $1.4 Billion Loss,"The stock-trading app unveiled its initial public offering prospectus on Thursday, pulling back the curtain on its financial performance for the first time.","SAN FRANCISCO — Robinhood, the stock-trading app that grew in popularity and notoriety during the pandemic, revealed skyrocketing revenue and a loss of more than $1.4 billion in the first three months of this year, as it took a key step on Thursday toward one of the year’s most anticipated initial public offerings.","['Venture Capital', 'Mobile Applications', 'Stocks and Bonds', 'Company Reports', 'Computers and the Internet']",1226
2021-07-01,U.S.,Biden Promises Continued Federal Aid for Surfside Building Collapse,"President Biden met with local officials in Surfside, Fla., and pledged that his administration will continue to provide federal aid after the collapse of the Champlain Towers South condo building.","President Biden met with local officials in Surfside, Fla., and pledged that his administration will continue to provide federal aid after the collapse of the Champlain Towers South condo building.","['Surfside, Fla, Building Collapse (2021)', 'Federal Aid (US)', 'United States Politics and Government']",0
2021-07-01,The Learning Network,Winners of Our Fourth Annual Podcast Contest,"We invited teenagers to create an original five-minute podcast, using any style of podcasting and exploring a topic of their choice. We received podcast submissions from over 1,500 students. Here are the finalists.",An undercover investigation of internet extremism. An exploration of how people use boxing to cope with Parkinson’s disease. A dive into the racist history of square dancing. A personal narrative about growing up with alopecia areata.,[],1166
2021-07-01,Business Day,Budget Deficit Projected to Hit $3 Trillion as Pandemic Spending Buoys Economy,"Stimulus spending will help fuel economic growth and erase pandemic job losses, according to a new report from the Congressional Budget Office.","WASHINGTON — The U.S. economy is rebounding from the pandemic downturn faster than expected and is on track to regain all the jobs lost during the coronavirus by the middle of next year, partly as a result of enormous amounts of federal spending that will push the budget deficit to $3 trillion for the 2021 fiscal year, the Congressional Budget Office said on Thursday.","['Federal Budget (US)', 'United States Economy', 'Stimulus (Economic)', 'Coronavirus (2019-nCoV)', 'United States Politics and Government', 'Inflation (Economics)']",1060
2021-07-01,Theater,"Review: In ‘Enemy of the People,’ Water and Democracy Are Poisoned","Ann Dowd stars in a contemporary rewrite of Ibsen’s play that forces a community, played by the audience, to make a series of fateful choices.","Elections in Weston Springs are so simple. When a question comes before the townspeople, they confer in small groups, reach a consensus, press a button marked “X” or “O” and get the result, all within a minute. To a New Yorker, that sounds nice right about now.",['Theater'],1126
2021-07-01,Books,10 New Books We Recommend This Week,Suggested reading from critics and editors at The New York Times.,"I ran into an old friend the other day, who right away started telling me about a novel that had failed to meet her expectations. Then she caught herself. “I’m so sorry!” she said. “You must hate talking about books when you’re not at work!”",['Books and Literature'],1195
2021-07-01,Opinion,Donald Rumsfeld Tore My Country Apart,"To the extent he set Iraq on a course of destruction, he won’t be forgotten. But for many of us still hoping for a better Iraq, he is irrelevant.","In the early hours of April 10, 2003, I had taken refuge in what was — for me — the safest place in the world: the floor of my parents’ bedroom in our home in Mosul, Iraq.","['Iraq War (2003-11)', 'United States Defense and Military Forces']",934
2021-07-01,Opinion,"Bill Cosby ‘Will Never Be a Truly Free Man, Nor Does He Deserve to Be’",Readers discuss the overturning of the actor’s conviction. Also: Abortion before Roe.,To the Editor:,"['False Arrests, Convictions and Imprisonments', 'Abortion', 'Roe v Wade (Supreme Court Decision)', 'Women and Girls']",633
2021-07-01,Arts,Company Set to Manage Britney Spears’s Estate Asks to Withdraw,"Bessemer Trust, a professional wealth management firm, said in its filing that it had not known of Ms. Spears’s objection to the conservatorship that governs her life.","The wealth management firm that was set to take over as the co-conservator of Britney Spears’s estate, alongside her father, has requested to resign from the arrangement, according to a document filed in court on Thursday, throwing her conservatorship into greater turmoil.","['Suits and Litigation (Civil)', 'Wills and Estates', 'Pop and Rock Music']",509
2021-07-01,U.S.,Pelosi Appoints Cheney to Jan. 6 Committee,"Speaker Nancy Pelosi appointed Representative Liz Cheney, Republican of Wyoming, to a newly created special committee to investigate the Jan. 6 riot at the Capitol. Ms. Cheney’s appointment appeared to be an attempt by Democrats to bring a degree of bipartisanship to the investigation.","Speaker Nancy Pelosi appointed Representative Liz Cheney, Republican of Wyoming, to a newly created special committee to investigate the Jan. 6 riot at the Capitol. Ms. Cheney’s appointment appeared to be an attempt by Democrats to bring a degree of bipartisanship to the investigation.","['United States Politics and Government', 'Storming of the US Capitol (Jan, 2021)']",0
2021-07-01,Movies,‘The Tomorrow War’ Review: Future Schlock,Chris Pratt leaps to 2051 to save our planet from aliens in this hyperventilating sci-fi spectacle.,"It is never good news when a phalanx of armed, balaclava-wearing dudes falls from the sky in the middle of a World Cup soccer game.",['Movies'],411
2021-07-01,Health,"The Delta variant is not driving a surge in hospitalization rates in England, health data shows.","Although the number of coronavirus infections has risen sharply in recent weeks, hospitalization rates remain low.","The Delta variant, which is now responsible for most coronavirus infections in England, is not driving a surge in the rate of hospitalizations there, according to data released by Public Health England on Thursday.","['Disease Rates', 'Vaccination and Immunization', 'Coronavirus (2019-nCoV)']",441
2021-07-01,World,Prominent Women Call for Tech Giants to Act Against Online Harassment,"The signatories included the tennis champion Billie Jean King, and the actors Thandiwe Newton, Ashley Judd and Emma Watson.","More than 200 prominent women from around the world, including actors, journalists, musicians and former government leaders, have written an open letter urging the chief executives of Facebook, Twitter, TikTok and Google to “prioritize the safety of women” on their platforms.","['Cyberharassment', 'Women and Girls', 'Computers and the Internet', 'Social Media']",635
2021-07-01,Science,"Wally Funk, Trailblazing Female Pilot, Will Join Jeff Bezos on Spaceflight","At 82, Ms. Funk will become the oldest person ever to go to space. In the 1960s, she was part of a test program to determine whether women were fit for space.","Mary Wallace Funk, an 82-year-old pilot who was prevented from becoming an astronaut in the 1960s because of her sex, will join Jeff Bezos on his rocket ship company’s first human flight into space, the company announced on Thursday.","['Women and Girls', 'Space and Astronomy', 'Private Spaceflight', 'Age, Chronological']",417
2021-07-01,U.S.,Watch Live: Biden Meets With Families and Survivors in Surfside,"President Biden and Jill Biden, the first lady, travel to Surfside, Fla., to visit families and survivors of the collapsed condominium tower, and will meet with rescue workers and first responders.","President Biden and Jill Biden, the first lady, travel to Surfside, Fla., to visit families and survivors of the collapsed condominium tower, and will meet with rescue workers and first responders.","['Surfside, Fla, Building Collapse (2021)', 'United States Politics and Government']",0
2021-07-01,New York,Read the Indictment,The Trump Organization and a top executive were charged by the Manhattan district attorney’s office on Thursday with fraud and tax crimes.,The Trump Organization and a top executive were charged by the Manhattan district attorney’s office on Thursday with fraud and tax crimes.,"['Tax Evasion', 'United States Politics and Government', 'Frauds and Swindling', 'Trump Tax Returns']",0
2021-07-01,New York,Woman Who Falsely Accused Black Teen in SoHo Is Charged With Hate Crime,"The charges against the woman, Miya Ponsetto, stem from an episode at a New York City hotel where she tackled a teenager who she wrongly said had taken her phone.",A California woman who falsely accused a teenager of stealing her phone and then attacked him at a New York City hotel was charged with a hate crime on Wednesday.,"['Black People', 'Blacks', 'Assaults', 'Hate Crimes', 'Robberies and Thefts']",650
2021-07-01,Sports,N.F.L. Penalizes Washington Football Team Amid Harassment Allegations,The penalty of a $10 million fine follows an investigation into sexual harassment and abuse in the team’s front office.,The N.F.L. on Thursday announced that the Washington Football Team would pay a $10 million fine to the league after a yearlong investigation into reports of the club’s rampant culture of sexual harassment perpetuated by managers and executives under the ownership of Daniel Snyder. The team also must reimburse the league for the cost of the investigation.,"['Sexual Harassment', 'Football', 'Fines (Penalties)']",1329
2021-07-01,Food,Your Next Lesson: Rosé From the Dark Side,"Not all rosés are meant to be pale, even though they are fashionable. Different techniques and traditions produce rosés of many hues.",The world seems to have embraced the notion that rosé is meant to wear only the palest shade of pink.,"['Wines', 'Content Type: Service']",578
2021-07-01,Food,The Paradox of Chenin Blanc,How can a wine be bone dry yet offer flavors that appear sweet? It’s part of the mystique that makes this versatile grape so captivating.,"Wine is either sweet or dry, right?",['Wines'],1468
2021-07-01,Books,"Patricia Reilly Giff, ‘Polk Street’ Children’s Book Writer, Dies at 86","Ms. Giff wrote more than 100 books, ranging from an exploration of the Irish potato famine to a humorous series about the antics of second graders.","Patricia Reilly Giff, a prolific children’s book author whose work was driven by the idea that remarkable stories could be spun from the lives of ordinary people, died on June 22 at her home in Trumbull, Conn. She was 86.","['Writing and Writers', 'Books and Literature', 'Children and Childhood', 'Deaths (Obituaries)']",679
2021-07-01,U.S.,"House, Setting a Marker for Talks, Passes $715 Billion Infrastructure Bill","House Democrats loaded their infrastructure measure with climate change spending, staking out a contrast with the Senate’s bipartisan bill that President Biden has embraced.","WASHINGTON — The House on Thursday laid down its marker for this month’s infrastructure negotiations, approving a five-year, $715 billion transportation and drinking water bill that would do more to combat climate change than the Senate’s bipartisan measure embraced by President Biden.","['Law and Legislation', 'Infrastructure (Public Works)', 'American Jobs Plan (2021)', 'United States Politics and Government', 'Bridges and Tunnels', 'Transportation', 'Water', 'Global Warming', 'Green New Deal', 'Earmarks (Finance)', 'States (US)']",830
2021-07-01,U.S.,Biden meets with families of victims in Surfside: ‘We’re here for you as one nation.’,President Biden on Thursday offered impassioned remarks in a hotel ballroom filled with the families of some of those who died or remain missing.,"SURFSIDE, Fla. — President Biden on Thursday offered impassioned remarks in a hotel ballroom filled with the families of some of those who died or remain missing under the rubble of a collapsed condominium building, according to White House officials and those in the room.","['Surfside, Fla, Building Collapse (2021)']",770
2021-07-01,Books,New in Paperback: ‘The Pull of the Stars’ and ‘Memorial Drive’,Six new paperbacks to check out this week.,"STRANGER IN THE SHOGUN’S CITY: A Japanese Woman and Her World, by Amy Stanley. (Scribner, 352 pp., $18.) Stanley’s discovery of a 19th-century letter from a Buddhist priest’s daughter who fled her family’s rural village for the city that would soon become Tokyo was the genesis for this 2020 biography, which won the National Book Critics Circle and PEN/Jacqueline Bograd Weld awards.",['Books and Literature'],403
2021-07-01,U.S.,Watch Live: Biden Meets With Families and Survivors in Surfside,"President Biden and Jill Biden, the first lady, travel to Surfside, Fla., to visit families and survivors of the collapsed condominium tower, and will meet with rescue workers and first responders.","President Biden and Jill Biden, the first lady, travel to Surfside, Fla., to visit families and survivors of the collapsed condominium tower, and will meet with rescue workers and first responders.","['Surfside, Fla, Building Collapse (2021)', 'United States Politics and Government']",0
2021-07-01,U.S.,"Homeland Security Watchdog Delayed Inquiry, Complaint Says","The department’s inspector general delayed looking into a retaliation complaint by a former intelligence chief until after the 2020 election, according to officials and a whistle-blower.","The Department of Homeland Security’s inspector general blocked an inquiry into whether senior agency officials demoted an employee who criticized the Trump administration, according to people familiar with the matter and a whistle-blower complaint obtained by The New York Times.","['Inspectors General', 'Whistle-Blowers', 'Ethics and Official Misconduct', 'Appointments and Executive Changes', 'United States Politics and Government']",1038
2021-07-01,U.S.,Blinken Says Coronavirus Restrictions Increased the Risk of Human Trafficking,The State Department released a report which assessed cases of reported human trafficking and exploitation between April 2020 and March 2021. Secretary of State Antony J. Blinken warned that some countries were not doing enough to stop human trafficking.,The State Department released a report which assessed cases of reported human trafficking and exploitation between April 2020 and March 2021. Secretary of State Antony J. Blinken warned that some countries were not doing enough to stop human trafficking.,"['Human Trafficking', 'Forced Labor', 'Coronavirus (2019-nCoV)', 'United States International Relations']",0
2021-07-01,Briefing,Your Friday Briefing,Tax charges against the Trump Organization.,"The Trump Organization, the family real estate business that catapulted Donald Trump to fame, was charged Thursday in a 15-year tax fraud scheme. The charges open up an aggressive new phase in a long-running criminal investigation into the former president.",[],1267
2021-07-01,Opinion,Why the Law Is Strong Enough to Take On Donald Trump,The ultimate value of the New York investigation is simple: accountability.,"A 15-count indictment for tax fraud and other charges filed in New York on Thursday against the Trump Organization and its longtime chief financial officer, Allen Weisselberg, has already stimulated as much hand-wringing as satisfaction from those who have called for accountability for Donald Trump.",['Tax Evasion'],1076
2021-07-01,Business Day,Restaurant Grant Program Ends in a Cloud of Errors and Confusion,"More than 100,000 business owners got help from the relief effort, but 265,000 were turned away — some after awards were rescinded.","A $28.6 billion federal relief fund for restaurants and other food businesses closed on Wednesday after running out of money, having fulfilled fewer than a third of the grant requests it received.","['Restaurants', 'Small Business', 'American Rescue Plan (2021)', 'Banking and Financial Institutions', 'Federal Aid (US)', 'United States Politics and Government', 'Bars and Nightclubs']",986
